,Vel_0,Vel_1,Vel_2,Vel_3,Vel_4,Vel_5,Vel_6,Vel_7,Vel_8,Vel_9,Vel_10,Vel_11,Vel_12,Vel_13,Vel_14,Vel_15,Vel_16,Vel_17,Vel_18,Vel_19,Vel_20,Vel_21,Vel_22,Vel_23,Vel_24,Mean_0,Mean_5,Mean_10,Mean_15,Mean_20,Mean_25
28,1.0,-4.5,-8.0,-7.5,-15.0,9.0,39.0,63.0,72.0,78.0,72.0,53.0,36.0,18.0,0.0,-16.0,-30.0,-46.0,-51.0,-51.0,-50.0,-40.0,-26.0,-15.0,-8.0,77.0,70.2,122.4,158.2,119.4,91.6
29,16.0,47.0,71.0,87.0,104.0,98.0,80.0,72.0,50.0,23.0,11.0,-4.0,-29.0,-39.0,-46.0,-55.0,-63.0,-59.0,-54.0,-55.0,-54.0,-44.0,-42.0,-45.0,-32.0,58.4,123.4,188.0,166.6,109.4,66.0
30,95.0,69.0,31.0,16.0,-4.0,-20.0,-27.0,-27.0,-28.0,-31.0,-39.0,-52.0,-61.0,-64.0,-61.0,-55.0,-41.0,-35.0,-34.0,-35.0,-33.0,-32.0,-27.0,-26.0,-30.0,228.6,270.0,243.4,188.0,148.0,118.4
31,73.0,53.0,53.0,59.0,62.0,71.0,68.0,48.0,16.0,-18.0,-53.0,-67.0,-65.0,-61.0,-59.0,-40.0,-40.0,-43.0,-30.0,-13.0,-14.0,-18.0,-20.0,-31.0,-37.0,225.4,285.4,322.4,261.4,228.2,204.2
32,-3.0,11.0,44.0,61.0,65.0,54.0,28.0,-14.0,-42.0,-56.0,-24.0,2.0,-2.0,5.0,12.0,-4.0,-14.0,0.0,7.0,3.0,-18.0,-31.0,-37.0,-41.0,-41.0,200.2,235.8,229.8,228.4,226.8,193.2
33,39.0,38.0,39.0,36.0,24.0,27.0,26.0,20.0,8.0,-16.0,-31.0,-41.0,-31.0,-17.0,3.0,12.0,12.0,2.0,-3.0,-4.0,-1.0,1.0,0.0,-5.0,-12.0,212.4,247.6,260.6,237.2,241.0,237.6
34,31.666666666666686,35.33333333333334,28.666666666666657,13.666666666666657,-4.666666666666657,-6.333333333333343,-25.0,-35.0,-42.0,-40.0,-47.0,-47.0,-40.0,-30.0,-30.0,-27.0,-26.0,-22.0,-16.0,-13.0,-12.0,-11.0,-18.0,-18.0,-22.0,190.93333333333334,211.8666666666667,182.2,143.4,122.6,106.4
35,24.333333333333314,21.166666666666657,14.333333333333343,-1.6666666666666572,-10.333333333333343,-17.666666666666657,-34.5,-35.0,-11.5,-16.0,-17.5,-14.0,-19.5,-40.0,-39.0,-34.0,-30.0,-23.0,-14.0,-5.0,-0.5,2.5,-1.0,-2.5,-5.5,169.46666666666667,179.03333333333333,156.1,130.1,108.9,107.5
36,17.0,7.0,0.0,-2.0,12.0,21.0,27.0,18.0,4.0,-20.0,-38.0,-52.0,-52.0,-50.0,-48.0,-41.0,-34.0,-24.0,-12.0,3.0,11.0,16.0,16.0,13.0,11.0,148.0,154.8,164.8,116.8,95.2,108.6
37,3.0,2.0,10.0,13.0,9.0,8.0,10.0,11.0,8.0,-1.0,-7.0,-9.0,-8.0,-3.0,3.0,2.0,-6.0,-14.0,-17.0,-15.0,-8.0,-2.0,0.0,-4.0,-10.0,147.6,155.0,162.2,157.4,147.4,142.6
38,40.0,47.0,48.0,53.0,52.0,55.0,49.0,49.0,38.0,19.0,6.0,-4.0,-12.0,-13.0,-12.0,-36.0,-49.0,-59.0,-72.0,-73.0,-56.0,-53.0,-54.0,-40.0,-39.0,179.8,227.8,269.8,262.8,205.0,156.6
39,42.0,50.5,55.0,65.5,-51.5,-55.0,-53.5,-44.0,-40.5,39.0,40.0,35.0,28.0,21.0,16.0,11.0,2.0,-11.0,-25.0,-27.0,-30.0,-27.0,-27.0,-22.0,-15.0,127.3,159.6,128.8,156.8,146.8,122.6
40,16.0,14.0,11.0,11.0,13.0,23.0,43.0,52.0,62.0,68.0,60.0,49.0,43.0,32.0,20.0,16.0,3.0,-7.0,-20.0,-24.0,-29.0,-27.0,-26.0,-22.0,-27.0,112.0,125.0,174.6,215.4,209.0,182.8
41,-9.5,-38.0,-32.0,-24.0,-18.0,-44.5,-14.0,-14.0,-12.0,-13.0,-13.0,-9.0,-7.0,-6.0,-4.0,-5.0,-9.0,-6.0,1.0,6.0,11.0,13.0,8.0,2.0,-1.0,136.0,111.7,92.2,84.4,81.8,88.4
42,17.0,6.0,0.0,1.0,-3.0,-6.0,-8.0,-13.0,-20.0,-30.0,-38.0,-0.5,-38.0,-32.0,-24.0,-18.0,-53.5,-14.0,-14.0,-12.0,-13.0,-13.0,-9.0,-7.0,-6.0,154.8,159.0,143.6,117.1,94.8,85.2
43,-3.0,-5.0,-4.0,-5.0,-16.0,-25.0,-14.0,-13.0,-10.0,-1.0,7.0,2.0,3.0,4.0,4.0,-6.0,-20.0,-30.0,-40.0,-47.0,-44.0,-37.0,-33.0,-25.0,-20.0,230.8,224.2,211.6,215.6,187.0,155.2
44,-3.0,-5.0,-4.0,-5.0,-16.0,-25.0,-14.0,-13.0,-10.0,-1.0,7.0,2.0,3.0,4.0,4.0,-6.0,-20.0,-30.0,-40.0,-47.0,-44.0,-37.0,-33.0,-25.0,-20.0,230.8,224.2,211.6,215.6,187.0,155.2
45,17.0,18.0,13.0,10.0,17.0,8.0,0.0,2.0,1.0,-7.0,-8.0,-6.0,-12.0,-9.0,-3.0,-5.0,-4.0,-5.0,-16.0,-25.0,-14.0,-13.0,-10.0,-1.0,7.0,222.0,237.0,237.8,230.2,219.2,213.0
